STARTUP,ASSUNTO,RESUMO
Fluxo,GOVTECH,"A Fluxo fornece crédito adiantado a empresas com contratos públicos de pregões eletrônicos, com base em análises abrangentes que consideram licitantes, desempenho de contrato, órgãos compradores e outras variáveis."
Fullface,CYBERSEGURANÇA,"A FullFace é líder em reconhecimento facial, com um algoritmo próprio que permite identificação rápida em diversos ambientes, como controle de acesso. Seu reconhecimento vai além de números, identificando as pessoas por suas características únicas, com um grande case na Gol Airlines."
GoePik,ENTERPRISETECH,"A GoePik busca automatizar e tornar sustentáveis processos que, antes, dependiam de esforços manuais, eram altamente dependentes de pessoas-chave e não tinham integração entre ferramentas da empresa.
"
Hyperscience,ENTERPRISETECH,"A Hyperscience usa modelos de aprendizado de máquina para automação precisa no processamento de documentos, incluindo entradas desafiadoras, como imagens de baixa resolução. Sua plataforma de baixo código melhora continuamente a automação com um mecanismo de qualidade incorporado."
Inbenta,ENTERPRISETECH,"Essa plataforma utiliza inteligência artificial para agilizar o suporte ao cliente, oferecendo autoatendimento, chatbots e automação, com o objetivo de reduzir custos e aumentar a satisfação dos clientes."
Kublau,ENTERPRISETECH,"Essa plataforma de CRM para cartões oferece monitoramento de envio de cartões, melhorando a ativação e o ciclo de vida dos titulares, além de facilitar a resolução de problemas e comunicação proativa com os clientes, rastreando a entrega em tempo real e fornecendo relatórios visuais.
"
Level 33,FINTECH ,"Essa solução oferece pagamentos flexíveis, monitoramento de estoque em tempo real e ferramentas de promoção para estabelecimentos, otimizando a experiência do cliente e a gestão do negócio."
M10,FINTECH ,"A M10 fornece uma infraestrutura em nuvem para a modernização de pagamentos, com destaque para pagamentos transfronteiriços. Seu sistema utiliza um Ledger compartilhado para possibilitar a compensação e liquidação instantânea de pagamentos internacionais, melhorando a eficiência e segurança das transações financeiras."
Mais Câmara,GOVTECH,"Sua solução envolve cinco etapas: 1) Avaliação de demandas e perfis com dados enriquecidos (Big Data); 2) Compreensão de interesses com orientação em canais adequados (IA); 3) Geração de opções e negociação inteligente (BOT e Machine Learning); 4) Facilitadores online para guiar as partes (Streaming); 5) Encerramento com formalização, pagamento e validação jurídica via assinatura eletrônica e/ou digital (Gateway de Pagamento e Blockchain)."
MetaMaker,EDTECH ,"O Meta-Circuitos é um kit de Eletricidade Educacional Sustentável, de baixo custo e fácil conexão, promovendo a criatividade e a exploração científica. É destinado à educação e inclusão, com uma versão acessível para deficientes visuais em desenvolvimento."
MGDF Consultoria,FINTECH ,Definir valor de referência de imóveis; eficiência na alocação de recursos; mudança na cultura das negociações; redução da assimetria de informações; monitoramento do mercado de terras; Apoio àtomada de decisão em investimentos e financiamentos.
Moxtra,ENTERPRISETECH,"O Moxtra oferece um canal digital privado para manter os clientes engajados, proporcionando acesso conveniente e serviços de alta qualidade a qualquer momento e lugar, focando na experiência do cliente e na estratégia de engajamento na era digital.
"
Nama Software,ENTERPRISETECH,"Com Nama, perfis da equipe diferentes são capazes de interagir juntos em uma arquitetura aberta para a prototipagem, desenvolvimento, formação e evolução dos agentes de conversação impulsionado por aprendizagem de máquina."
Nuveo Technologies,ENTERPRISETECH,"Nossa solução é baseada em nossa tecnologia patenteada, UltraOCR, através do qual podemos ler, interpretar e extrair dados de imagens, fotos ou documentos, com etapas, fazer isso, podemos automatizar  processos ou até mesmo automaçõesend-to-end."
O2OBOTS,ENTERPRISETECH,"A O2OBOTS oferece uma solução de e-Governance que visa reduzir a burocracia e melhorar a transparência, abrangendo desde a identidade digital até o reconhecimento de firma de documentos. Seu objetivo é facilitar o acesso à justiça, fortalecer a democracia e empoderar as pessoas, tudo isso com um foco na autenticação de informações sem armazenamento de dados."
Onsurance,INSURTECH,"A Onsurance oferece seguros sob demanda, permitindo que os clientes paguem por minuto quando necessário, promovendo a inclusão social e uso consciente. Começaram com o Onsurance auto para carros, motos e patinetes elétricos."
OriginalMy,ENTERPRISETECH,"Construímos uma estrutura de e-Governance inovadora, fornecendo soluções abrangentes para eliminar a burocracia e aumentar a transparência. Nossa plataforma, com tecnologia de ponta, abrange desde identidade digital até reconhecimento de firma de documentos, promovendo o acesso à justiça, fortalecendo a democracia e capacitando as pessoas, sem a necessidade de armazenar dados."
PandaPay,FINTECH ,"A Panda Pay disponibiliza uma solução financeira modular abrangente, que engloba carteira digital, emissão de boletos, pagamentos instantâneos, tributos, QR Codes, link payments, transferências, tokenização em blockchain, e mais. Além disso, oferece uma opção white-label personalizável para instituições interessadas em usar sua infraestrutura financeira."
Pluggy,FINTECH ,"A Pluggy é uma fintech que simplifica a integração de dados financeiros dos usuários para outras empresas do setor, oferecendo serviços de Open Finance, como agregação de contas e análise de dados, com o objetivo de melhorar a experiência do cliente e impulsionar a inovação financeira."
Prometeo,CYBERSEGURANÇA,"Prometeo é uma plataforma que oferece acesso padronizado a informações bancárias, transações e pagamentos em várias instituições financeiras na América Latina, seguindo padrões de segurança e regulamentações de Open Banking. Com sua solução white label plug & play SAAS, Prometeo promove a interoperabilidade no setor financeiro da região."
Square City,SMART CITIES,"A plataforma oferece um marketplace gratuito para pequenas e médias empresas e auxiliou mais de 300 artesãos e produtores locais durante a pandemia. No futuro, pretende impulsionar a renovação do setor de turismo em parceria com as cidades para aumentar a receita e revitalizar o setor."
TelosTouch,ENTERPRISETECH,"O TelosTouch permite que as instituições criem experiências digitais que antes eram impossíveis. Ajudamos a capturar momentos-chave, agir com facilidade em ações sobre eles e mostrar o valor do aconselhamento personalizado. Ao fazer isso, as instituições reduzem a rotatividade de clientes e aumentam a participação na carteira."
Track.co,ENTERPRISETECH,"Desenvolveram um software para a gestão da experiência do cliente, monitorando a satisfação em tempo real com o NPS e outras metodologias. Possuem quatro pilares: Disparos (automatização de pesquisas), Relatórios, Fechamento de Loop (tratamento personalizado dos comentários) e Sucesso (equipe de suporte ao cliente)."
True Blue,ENTERPRISETECH,"Uma plataforma digital de gestão da experiência e sucesso dos clientes com base no Net Promoter System (NPS 2.0) que ajuda empreendedores a conhecerem seus clientes, compreender suas insatisfações e atuar nas causas raiz dos problemas promovendo longevidade, rentabilidade e conexão com aquele que é a razão de existir de qualquer negócio: o cliente."
Urgentem,SUSTAINABILITY ,"Somos fornecedores independentes de dados transparentes sobre emissões e riscos climáticos em toda a cadeia de valor, oferecendo uma abordagem detalhada. Lançamos uma plataforma inovadora para o setor financeiro, solucionando a falta de consistência e cobertura dos dados de emissões."
VOYAGER,GOVTECH,"O EgovOTRS é uma solução líder em ITSM, atendendo às necessidades de empresas com vasta experiência em normas como ITILv4, CobiT19, ISO/IEC 20000 e ISO/IEC 38500. Além disso, é compatível com regulamentos brasileiros para contratações em órgãos governamentais, com uma unidade de atendimento 100% nacional."
WB CODEPAY,FINTECH ,"WBcodepay oferece a compra e pagamento 100% no celular. O terminal QRCEDE, conterá todas as informações necessárias para a transação, credenciado basta o estabelecimento estar no QRCODE. Controle de informações sobre suas transações na palma da sua mão."
AleFi,FINTECH ,A AleFi é uma plataforma de investimento social que permite a investidores de varejo vincular suas contas de corretagem e compartilhar seus portfólios em tempo real. Os usuários podem seguir outros investidores e os criadores verificados com retornos sólidos podem cobrar uma taxa mensal para compartilhar suas carteiras.
Appboxo,SMART CITIES,"O Appboxo é uma plataforma de super aplicativo que permite que empresas integrem miniaplicativos nativos em seus aplicativos para oferecer vários serviços e monetizar seus usuários. Isso beneficia tanto os aplicativos quanto os provedores de serviços, com parceiros como Booking.com e Singapore Airlines já utilizando a plataforma."
Autopass,MOBILITY,"Autopass fornece soluções de tecnologia de negócios, bilhetagem eletrônica e vouchers para transporte e restaurantes."
Axis MobFintech,MOBILITY,"A MobFintech é uma empresa de tecnologia financeira que se especializa em mobilidade urbana, colaborando com clientes para criar soluções de pagamento mais simples e inteligentes. Eles oferecem soluções B2B2C e acreditam que a tecnologia pode impactar positivamente o mundo e as pessoas."
Bankfy,FINTECH ,"Somos uma fintech openbanking com produtos financeiros Mercado. Destinado a contadores e parceiros que oferecem produtos bancários de forma consultiva e criando novas experiências de contratação. Nosso propósito é ajudar empresas no Brasil, juntamente com sócios, para não ter prejuízos na compra de produtos, ajudando a torná-lo mais rentável, duradouro e próspero."
BigData Corp,FINTECH ,"BigData é uma plataforma que agrega informações de todos os tipos, ajudando as empresas a automatizar a forma como trabalham com enormes volumes de informação, libertando-os do se preocupe em como capturar e estruturar dados dispersos ao redor do mundo."
Branch,MEDIA&ADS,"A Branch transforma a interação entre marcas e usuários em plataformas digitais com soluções de marketing móvel e links diretos que aumentam o ROI, reduzem gastos desnecessários e aprimoram a atribuição. Sua tecnologia integrada em vários canais de marketing gera conversões de alto valor para as marcas."
CelCoin,MOBILITY,"A Celcoin fornece uma fintech como plataforma de serviço para o digital bancos e carteiras, e para correspondente bancário redes."
Data AI,ENTERPRISETECH,"O App Annie é uma plataforma de tomada de decisão para a economia de aplicativos móveis. Ele combina análise de aplicativos próprios com insights detalhados sobre concorrência e mercado, oferecendo uma visão completa do negócio móvel. A plataforma é confiada por mais de 90% dos 100 principais editores e mais de 700.000 aplicativos."
Digibee,FINTECH ,"Digibee HIP conecta empresas ao mundo digital usando sua abordagem #nocodeintegration. Percebemos que cada sistema é único e tradicional as abordagens falharam em reuni-los todos. Então não não importa qual tecnologia ou protocolo é usado, o Digibee HIP
permite que as empresas criem e orquestrem fluxos de dados como os vencedores digitais fazem."
Empresa1,MOBILITY,"A Empresa1 integra hardware, software e serviços para automatizar métodos de pagamento e combater a fraude, com foco em segurança de dados, smartcards, biometria móvel e facial. Seus projetos têm impacto em mais de 150 empresas em várias cidades brasileiras, América Latina e África."
Etvas,ENTERPRISETECH,"A Etvas é uma plataforma de recompensas que ajuda bancos e comerciantes a oferecer cashback aos clientes com base em dados de transações anônimas. Isso permite criar experiências sem atrito para os clientes, aumentando a satisfação e a fidelização."
Finerio Connect,FINTECH ,"Finerio é um sistema de finanças pessoais automatizado e gratuito plataforma no México. Finerio permite aos usuários vincular contas de débito e crédito de os bancos mais importantes do México, proporcionando-lhes insights sobre como planejar financeiramente e economizar dinheiro."
Fintoc,FINTECH ,Somos uma fintech B2B que oferece serviços bancários e produtos para empresas de rápido crescimento e startups para fazer tornando-os mais produtivos e eficientes. Tudo o que fazemos é para empresas e empreendedores protegidos desafiar o status quo e mudar o Brasil para o melhorar.
Floid,FINTECH ,"Plataforma de Open Banking da Latam, com atuação no Chile, Peru, Colômbia e lançamento no México e Brasil. Nossa abordagem é a de um Centro de Informações Financeiras Provedor, ajudando Fintechs, Lenders e Bancos com conjunto diferente de produtos (Identificação, KYC, integração, portabilidade financeira, etc)."
Flourish Fi,FINTECH ,"A Flourish é uma plataforma de engajamento financeiro para instituições nas Américas, promovendo crescimento de depósitos e fidelização de clientes. Usando gamificação e ciência comportamental, melhora a gestão financeira e cria lealdade para bancos e fintechs."
Goal Systems,MOBILITY,"A Goal Systems fornece soluções de software de gestão para empresas de transporte urbano e de longa distância, melhorando a otimização de horários, planejamento de veículos e motoristas, alocação de recursos e replanejamento diário, visando eficiência e rentabilidade."
Grão,FINTECH ,"O Grão visa transformar a relação dos brasileiros com o dinheiro, incentivando o hábito de economizar pequenas quantidades, como o valor de uma xícara de café. Além disso, oferecerá dicas para melhorar a saúde financeira e tornar o dinheiro um aliado."
GuiaBolso,FINTECH ,"O GuiaBolso é um hub digital brasileiro que conecta consumidores a produtos financeiros por meio de um aplicativo marketplace. Oferece agregação de contas bancárias, relatórios de agências de crédito e análise de dados para fornecer aos usuários uma visão completa de suas finanças e aos parceiros bancários informações valiosas sobre modelagem de crédito."
InvestPlay,FINTECH ,"Através do Open Finance, apoiamos instituições financeira a performar melhor seus produtos e serviços. Nossas soluções usam educação financeira e gamificação para proporcionar a melhor experiência para seu usuário, entendendo seus hábitos, comportamentos e necessidades."
InvestSuite,ENTERPRISETECH,"A Investsuite fornece soluções InvestTech modulares para instituições financeiras, combinando conhecimento quantitativo e design centrado no ser humano. Eles se concentram em garantir fácil conectividade de API e minimizar custos e tempo de implementação para seus clientes."
"Keyless Technologies
",CYBERSEGURANÇA,"A Keyless é uma empresa de segurança cibernética que oferece uma plataforma de gestão de identidade e autenticação biométrica preservando a privacidade. Sua tecnologia combina biometria e criptografia em nuvem, eliminando a necessidade de armazenar informações confidenciais, possibilitando autenticação sem senha e proteção para forças de trabalho remotas e clientes."
Klavi,FINTECH ,"Klavi é uma plataforma de Open Banking API que possibilita acesso seguro, rápido e escalável a uma ampla gama de dados financeiros e não financeiros, incluindo renda e hábitos de consumo, com o consentimento do usuário."
Meep,MOBILITY,"A Meep busca conectar sociedade e transporte através de um aplicativo que integra diversos modos de transporte em uma única plataforma. Isso permite aos usuários planejar, reservar e pagar por suas viagens de forma simplificada, eliminando a necessidade de múltiplos aplicativos e oferecendo opções personalizadas de viagem."
Mentum,FINTECH ,Mentum é uma API para fintechs que oferece serviços de investimento.
Monit,FINTECH ,"A Monit é uma plataforma fintech que ajuda bancos a crescerem em segmentos de pequenas e médias empresas (SMB). Eles oferecem ferramentas de fluxo de caixa e previsão, conectando-se aos pacotes de contabilidade dos empresários e usando dados adicionais de fontes como declarações fiscais do IRS."
Novae,ENTERPRISETECH,Novae é um B2B inteligente plataforma de pagamentos que cria experiências de usuário superiores para trazer engajamento digital e lealdade a novos níveis. Novae está no espaço fintech antes mesmo do termo existia. 
Nuclei,FINTECH ,"A Nuclei desenvolve uma plataforma de integração API para aplicativos bancários, aprimorando o envolvimento do cliente com serviços comerciais e de gestão de patrimônio. Isso permite integração rápida de serviços de terceiros, enfocando a experiência do cliente e a integração em tempo real."
"Olivia AI, Inc.",FINTECH ,"A Olivia é uma plataforma de IA e aplicativo móvel que analisa suas finanças, prevê seus gastos futuros e fornece insights acionáveis para ajudá-lo a gastar com mais sabedoria. Ela ajuda a economizar de 5% a 10% do seu salário, proporcionando mais flexibilidade para realizar suas atividades preferidas, quitar dívidas ou poupar para o futuro."
Onboard,MOBILITY,"A ONBOARD é uma startup que fornece produtos e serviços digitais serviços nas cidades através de um meio de acesso universal como para ônibus, trens, bondes, etc. ONBOARD tem quatro soluções como chatbots, Digital Ticketing Device e Painel de gerenciamento modular."
Onfido,CYBERSEGURANÇA,A Onfido utiliza tecnologia de aprendizado de máquina para validar documentos de identidade dos usuários e compará-los com sua biometria facial. Essa plataforma de verificação de identidade e antecedentes ajuda as empresas a garantir a autenticidade de seus clientes.
Onidata,FINTECH ,"A Onidata fornece uma plataforma SaaS abrangente para operações de Crédito Pessoal, CDC e Consignado, cobrindo simulação, análise de crédito, gestão de contratos e relatórios. Sua solução baseada em APIs é preparada para o open banking e oferece integração fácil com sistemas legados, além de ser multifinanceira para o controle individual de parceiros financeiros."
ONLi Seguros,FINTECH ,"ONLi Seguros in an insurtech focused on developing digital insurance distribution projects for insurers and affinity partners. The company works with an advanced scheduling processes, enabling the insurance contracting and policy issuance to be done in a few minutes. The company is also focused on developing content to help people understand the importance to have a life insurance policy."
Optibus,MOBILITY,"A Optibus fornece uma plataforma SaaS que utiliza algoritmos de inteligência artificial para melhorar a operação de transporte em massa, otimizando o planejamento e a programação de veículos e motoristas em mais de 300 cidades, resultando em melhorias na eficiência, redução de custos e impacto ambiental."
Paragon,ENTERPRISETECH,"A Paragon é uma solução que facilita a integração de produtos com aplicativos SaaS de terceiros, visando criar uma nova linguagem de programação que democratize o desenvolvimento de software. Seu objetivo é permitir que engenheiros e não engenheiros construam produtos juntos de forma simples e eficiente."
Pomelo,FINTECH ,Pomelo fornece infraestrutura fintech e serviços financeiros Serviços. A plataforma da empresa permite fintech e players financeiros incorporados para lançar contas virtuais como bem como emitir cartões pré-pagos e de crédito. 
Prodata Mobility,MOBILITY,"A Mobility oferece soluções de coleta de tarifas e controle de frota para sistemas de transporte público em várias cidades na América do Sul. Com quase 30 anos de experiência, eles personalizam suas soluções para atender às necessidades de cada cliente e têm sido reconhecidos como a melhor empresa de venda de passagens por 10 vezes consecutivas."
Railz,FINTECH ,"O Railz oferece uma API de Dados Contábeis como Serviço para instituições financeiras e empresas de contabilidade, automatizando a avaliação da saúde financeira de pequenas empresas por meio de dados precisos e imediatos de fontes confiáveis. Isso simplifica o processo para clientes existentes e novos candidatos."
RapidAPI,ENTERPRISETECH,"A RapidAPI é um mercado de API que permite aos desenvolvedores se conectarem a milhares de APIs públicas, gerenciarem integrações e acessarem métricas em tempo real. A empresa acredita na melhoria exponencial compartilhando dados e funcionalidades entre os desenvolvedores."
RecargaPay,MOBILITY,"A RecargaPay é uma fintech líder no Brasil, buscando democratizar os pagamentos móveis e serviços financeiros. Seu ecossistema de dinheiro móvel atende a uma ampla gama de usuários, bancarizados e não bancarizados, proporcionando opções convenientes de pagamento, recargas, pagamento de contas e outros serviços financeiros."
Saffe,MOBILITY,"A Saffe é especializada em reconhecimento facial e autenticação segura para pagamentos. Sua tecnologia proprietária inclui detecção de vitalidade para reduzir fraudes. A empresa possui certificação NIST e oferece flexibilidade na integração com clientes por meio de instalações locais ou em nuvem, além de um SDK/API compacto."
SHIELD (FKA CashShield),ENTERPRISETECH,"A plataforma Autonomous Risk Intelligence da SHIELD ajuda as empresas a proteger seus ecossistemas digitais, abrangendo proteção de conta, proteção de transação, conformidade e inteligência de risco de crédito. Isso permite que as empresas compreendam e gerenciem o risco em cada ponto de controle de acordo com suas necessidades."
Stark Bank,FINTECH ,Somos uma fintech B2B que oferece serviços bancários e produtos para empresas de rápido crescimento e startups para fazer tornando-os mais produtivos e eficientes. Tudo o que fazemos é para impulsionar empresas e empreendedores desafiar o status quo e mudar o Brasil para o melhorar.
Sudobank,FINTECH ,"A SUDO é uma plataforma de Internet Banking Descentralizada que prioriza a liberdade de escolha e oferece uma experiência Open Banking diferenciada. Ela permite personalização, é focada em dispositivos móveis e busca expandir as opções de experiência do usuário por meio de modificações realizadas por parceiros, visando se tornar um Marketplace líder em serviços financeiros."
swIDch,CYBERSEGURANÇA,"A swIDch é uma startup de segurança cibernética que utiliza um algoritmo patenteado para identificar e autenticar usuários de forma segura, resolvendo problemas relacionados a roubo de identidade e fraudes CNP. Sua abordagem oferece simplicidade e segurança no processo de autenticação."
Togggle,CYBERSEGURANÇA,"A Togggle enfatiza a posse e controle dos dados pelos usuários. Eles usam o Privileged Identity Management (PIM) para armazenar dados dos usuários em seus Personal Data PODs, permitindo que os usuários determinem quais serviços e terceiros podem acessar seus dados e para quais fins."
Trampolin,FINTECH ,"Somos uma fintech brasileira que oferece carteiras digitais personalizadas vinculadas à rede de pagamento Mastercard. Com mais dispositivos móveis ativos do que pessoas no Brasil, nosso objetivo é promover a inclusão financeira e criar riqueza, atendendo à parcela significativa da população que permanece desbancarizada."
Transdata,MOBILITY,"Desde 1993, a empresa se dedica a melhorar a mobilidade e a qualidade de vida no transporte público, usando sua experiência e conhecimento para criar soluções inovadoras e colaborativas que beneficiam operadores, passageiros e autoridades."
Transfeera,FINTECH ,"Transfeera é uma plataforma que gera economia a cada transferência entre bancos e também permite que seus clientes reduzir erros e esforços operacionais que geram ainda mais despesas. Concebido em março de 2016, o Transfeera foi criado com o objetivo de reduzir os custos de TEDs e DOCs aos seus Usuários."
Truora,CYBERSEGURANÇA,"A Truora é especializada em verificações de antecedentes e detecção de roubo de identidade, com uma plataforma que processa mais de 10.000 verificações por hora. Atendem a clientes como varejistas, bancos e mercados, oferecendo soluções personalizadas para equipes de recursos humanos, gestão de riscos e digitais."
Vezgo,CRYPTO&DIGITAL,"A plataforma Vezgo simplifica a integração de criptomoedas em aplicativos, reduzindo o tempo de integração em até 80%, economizando meses de trabalho em apenas uma tarde. Além disso, oferece atualizações regulares para suportar novas exchanges e assegura dados padronizados para maior confiabilidade."
Wallet Engine,FINTECH ,"O Wallet Engine permite que qualquer aplicativo incorpore uma carteira digital em menos de 30 dias, superando desafios regulatórios e custos de integração. Eles combinam tecnologia de nível bancário e operações licenciadas para facilitar a implementação de carteiras digitais em aplicativos."
X4 Fare,MOBILITY,"O X4FARE é um hub de pagamento para mobilidade urbana, integrando carteiras digitais ao pagamento de bilhetes de transporte e facilitando a cobrança eficiente junto aos clientes e participantes do sistema."
AllVoices,FINTECH ,"O AllVoices é uma plataforma de relato de questões de assédio e cultura para funcionários, permitindo relatórios anônimos para a liderança. Isso fornece dados em tempo real para que as empresas identifiquem e resolvam problemas culturais, melhorando o ambiente de trabalho e a segurança dos funcionários"
Appus HR Technology,ENTERPRISETECH,"Especialista em HR Analytics, a Appus pesquisa e desenvolve soluções que ajudam sua empresa a entender e gerencie com mais eficiência seu recurso mais importante: pessoas. Aplicando tecnologia e ciência, cria ferramentas analíticas e preditivas fáceis de implementar que permitem melhorando a gestão de funcionários."
Drop thought,MEDIA&ADS,"A plataforma DropThought proporciona feedback instantâneo para empresas e marcas, melhorando experiências e satisfação de clientes e funcionários. A coleta acontece via app, API e tablets, com o Dashboard notificando para respostas ágeis. A análise de texto oferece insights ao longo do tempo e promove feedback positivo em redes sociais."
Engagedly,ENTERPRISETECH,"Com a Plataforma Engagedly, as organizações podem alinhar e motivar sua força de trabalho. O sistema é altamente configurável e fornece muito fácil de usar e configuração flexível. Com algumas ações simples facilitadores (admins) podem ajustar os recursos para melhor alinhados com sua estratégia de gestão de talentos."
Feedback House,ENTERPRISETECH,"A Feedback House fornece feedback contínuo, OKRs, contratação em grande escala e relatórios."
Feedz,ENTERPRISETECH,"Feedz é uma plataforma para engajamento de funcionários e desenvolvimento profissional. Ele permite que os gerentes de RH compreender seus colaboradores, integrar equipes, estimular feedback contínuo, seguir metas e fazer as pessoas se sentirem parte da empresa."
Gamefic,MEDIA&ADS,"A Gamefic é líder em gamificação, oferecendo uma solução única no mundo que aplica metodologias B2B e B2C com tecnologias avançadas como Realidade Aumentada, inteligência artificial e jogos. Líder em gamificação no Brasil."
IMPULSE UP,ENTERPRISETECH,"IMPULSE UP capacita pequenas e médias empresas organizações conheçam as habilidades, comportamentos, e conhecimento para melhorar a tomada de decisão, desenvolver o potencial da força de trabalho e atingir o esperado resultados.
"
Mo,ENTERPRISETECH,"A plataforma da Mo utiliza os dados criados através interações para fornecer informações em tempo real sobre o funcionário comportamentos, relacionamentos e níveis de engajamento, permitindo assim que os funcionários  compartilhem ideias, ofereçam feedback, pesquisas completas e reconhecimento mútuo. "
Peakon,ENTERPRISETECH,"A Peakon automatiza a coleta e análise de feedback dos funcionários para insights em tempo real. A plataforma é global, traduzida em 50 idiomas, atendendo a estruturas complexas e suportando diversos canais de feedback. Capacita todos na organização a atingirem seu potencial máximo."
Siteware,ENTERPRISETECH,"A Siteware oferece soluções de gerenciamento empresarial, incluindo ferramentas como RESULTs, DASHBOARDs, AÇÕES, DOCUMENTOS, PROJETOS e REUNIÕES para melhorar o engajamento e integração nas empresas, monitorando processos, relatórios gerenciais, análise de problemas, controle de padrões, gerenciamento de portfólio e facilitação de discussões e tarefas."
Polus,SUSTAINABILITY ,"Com software e hardware próprio, a tecnologia baseada em Energy Analytics possibilita a gestão para redução de até 20% do consumo de energia elétrica."
Brintell,ENTERPRISETECH ,Soluções inovadoras em inteligência e visualização de dados. Facilitam o uso da inteligência de dados simplificando o fluxo e o processo de análise para tomadas de decisões mais eficientes.
GoLedger,CYBERSEGURANÇA,Especializada em desenvolver sob demanda Blockchains Privados e Permissionados. Trabalhamos com Blockchains Privados e Permissionados baseados no framework Hyperledger.
Origem Motos,MOBILITY,Startup que produz motos elétricas em Brasília.
SmupWeb,ENTERPRISETECH ,O sistema de monitoramento micro processado (smuPweb) visa monitorar a qualidade dos seus ambientes e equipamentos em tempo real.
AetosTech,CYBERSEGURANÇA,Solução própria voltada para PLD. Aprimorar e automatizar processo de onboarding e verificação contínua dos clientes atuais de modo a detectar indivíduos de alto risco. Solução em nuvem capaz de gerar resultados no curto prazo.
ProfPlay,EDTECH ,Plataforma que prepara os melhores profissionais para Pequenas e Médias empresas em um ecossistema gamificado de treinamento e contratação.
Veggie & Tais,AGTECH ,"Startup que busca conectar os pequenos produtores direto aos seus consumidores, para que possam receber as compras de vegetais direto em casa."
Fotoploc,ENTERPRISETECH,"Fotoploc é álbum de figurinhas personalizado. Cria experiências únicas no ambiente físico, com álbuns de figurinhas personalizados para eternizar momentos e, atualmente, estão ingressando com funcionalidades no metaverso."
Veriza,FINTECH ,Fintech que oferece microcrédito para grupos de microempreendedores de forma totalmente digital. Usam o conceito de aval solidário com objetivo de diminuir o risco das operações e facilitar o acesso desses microempreendedores a crédito.
Airship,ENTERPRISETECH,"A Airship é uma plataforma de engajamento do cliente utilizada por equipes de marketing em empresas líderes para enviar mensagens relevantes em diversos canais. Fundada em 2009, a Airship oferece recursos avançados, incluindo dados de usuário, orquestração de IA e serviços para personalizar notificações push, e-mails e SMS, aumentando o engajamento e ação do cliente."
Avify,ENTERPRISETECH,"O Avify é uma plataforma que centraliza operações de comércio eletrônico na América Latina, simplificando a gestão de diversos canais de vendas. Permite economia de tempo com automação e integração de serviços de entrega, pagamento e faturamento, impulsionando o crescimento dos negócios."
Botbox,FINTECH ,"Botbox é a plataforma omnicanal que fornece serviços bancários e financeiros com as soluções de chatbot. Além dos serviços mencionados, também fornecemos soluções para as equipes de suporte ao cliente, evoluindo sistema de bilhética nas plataformas de mensagens."
Chat Infinite,ENTERPRISETECH,"Oferecemos chatbots de IA para empresas financeiras, seguradoras, telecomunicações e serviços, melhorando a experiência do cliente nos Contact Centers. Usamos um mecanismo de Chatbot AI na nuvem para interagir com os clientes em redes sociais, sites e canais como o WhatsApp for Business, combinando chatbots com atendimento ao vivo."
